ts_code,last_updated_at
000001.SZ,2025-12-21 17:57:32
000002.SZ,2025-12-21 18:07:34
000004.SZ,2025-12-21 18:11:02
000006.SZ,2025-12-21 18:11:03
000007.SZ,2025-12-21 18:11:07
000008.SZ,2025-12-21 18:11:10
000009.SZ,2025-12-21 18:11:11
000010.SZ,2025-12-21 18:11:13
000011.SZ,2025-12-21 18:11:16
000012.SZ,2025-12-21 18:11:18
000014.SZ,2025-12-21 18:11:20
000016.SZ,2025-12-21 18:11:22
000017.SZ,2025-12-21 18:11:26
000019.SZ,2025-12-21 18:11:29
000020.SZ,2025-12-21 18:11:30
000021.SZ,2025-12-21 18:11:32
000025.SZ,2025-12-21 18:11:33
000026.SZ,2025-12-21 18:11:36
000027.SZ,2025-12-21 18:11:38
000028.SZ,2025-12-21 18:11:39
000029.SZ,2025-12-21 18:11:41
000030.SZ,2025-12-21 18:11:43
000031.SZ,2025-12-21 18:11:44
000032.SZ,2025-12-21 18:11:46
000034.SZ,2025-12-21 18:11:47
000035.SZ,2025-12-21 18:11:49
000036.SZ,2025-12-21 18:11:50
000037.SZ,2025-12-21 18:11:52
000039.SZ,2025-12-21 18:11:54
000042.SZ,2025-12-21 18:11:55
000045.SZ,2025-12-21 18:11:58
000048.SZ,2025-12-21 18:12:00
000049.SZ,2025-12-21 18:14:48
000050.SZ,2025-12-21 18:14:50
000058.SZ,2025-12-21 18:44:08
000055.SZ,2025-12-21 18:44:08
000056.SZ,2025-12-21 18:44:10
000059.SZ,2025-12-21 18:44:12
000060.SZ,2025-12-21 18:44:12
000061.SZ,2025-12-21 18:44:14
000062.SZ,2025-12-21 18:44:15
000063.SZ,2025-12-21 18:44:16
000065.SZ,2025-12-21 18:44:17
000066.SZ,2025-12-21 18:44:17
000068.SZ,2025-12-21 18:44:19
000069.SZ,2025-12-21 18:44:20
000070.SZ,2025-12-21 18:44:21
000078.SZ,2025-12-21 18:44:22
000088.SZ,2025-12-21 18:44:24
000089.SZ,2025-12-21 18:44:24
000090.SZ,2025-12-21 18:44:26
000096.SZ,2025-12-21 18:44:27
000099.SZ,2025-12-21 18:44:28
000100.SZ,2025-12-21 18:44:28
000153.SZ,2025-12-21 18:44:30
000155.SZ,2025-12-21 18:44:32
000151.SZ,2025-12-21 18:44:34
000156.SZ,2025-12-21 18:44:34
000157.SZ,2025-12-21 18:44:35
000158.SZ,2025-12-21 18:44:36
000159.SZ,2025-12-21 18:44:37
000166.SZ,2025-12-21 18:44:38
000333.SZ,2025-12-21 18:44:39
000301.SZ,2025-12-21 18:44:41
000338.SZ,2025-12-21 18:44:41
000400.SZ,2025-12-21 18:44:43
000402.SZ,2025-12-21 18:44:46
000401.SZ,2025-12-21 18:44:46
000403.SZ,2025-12-21 18:44:48
000404.SZ,2025-12-21 18:44:50
000407.SZ,2025-12-21 18:44:50
000408.SZ,2025-12-21 18:44:52
000409.SZ,2025-12-21 18:44:54
000410.SZ,2025-12-21 18:44:54
000411.SZ,2025-12-21 18:44:55
000415.SZ,2025-12-21 18:44:55
000417.SZ,2025-12-21 18:44:58
000419.SZ,2025-12-21 18:44:59
000421.SZ,2025-12-21 18:45:01
000420.SZ,2025-12-21 18:45:01
000422.SZ,2025-12-21 18:45:03
000423.SZ,2025-12-21 18:45:03
000426.SZ,2025-12-21 18:45:05
000425.SZ,2025-12-21 18:45:05
000428.SZ,2025-12-21 18:45:07
000429.SZ,2025-12-21 18:45:07
000510.SZ,2025-12-21 18:46:09
000503.SZ,2025-12-21 18:46:13
000501.SZ,2025-12-21 18:46:13
000504.SZ,2025-12-21 18:46:15
000505.SZ,2025-12-21 18:46:15
000507.SZ,2025-12-21 18:46:17
000506.SZ,2025-12-21 18:46:18
000498.SZ,2025-12-21 18:46:20
000513.SZ,2025-12-21 18:46:22
000509.SZ,2025-12-21 18:46:23
000514.SZ,2025-12-21 18:46:24
000517.SZ,2025-12-21 18:46:25
000516.SZ,2025-12-21 18:46:27
000518.SZ,2025-12-21 18:46:28
000519.SZ,2025-12-21 18:46:30
000520.SZ,2025-12-21 18:46:30
000521.SZ,2025-12-21 18:46:31
000523.SZ,2025-12-21 18:46:32
000524.SZ,2025-12-21 18:46:33
000525.SZ,2025-12-21 18:46:33
000526.SZ,2025-12-21 18:46:35
000528.SZ,2025-12-21 18:46:36
000529.SZ,2025-12-21 18:46:37
000531.SZ,2025-12-21 18:46:39
000530.SZ,2025-12-21 18:46:40
000533.SZ,2025-12-21 18:46:43
000534.SZ,2025-12-21 18:46:45
000532.SZ,2025-12-21 18:46:46
000536.SZ,2025-12-21 18:46:47
000537.SZ,2025-12-21 18:46:47
000538.SZ,2025-12-21 18:46:49
000539.SZ,2025-12-21 18:46:49
000541.SZ,2025-12-21 18:46:50
000543.SZ,2025-12-21 18:46:53
000544.SZ,2025-12-21 18:46:53
000545.SZ,2025-12-21 18:46:55
000546.SZ,2025-12-21 18:46:57
000547.SZ,2025-12-21 18:46:58
000548.SZ,2025-12-21 18:46:58
000550.SZ,2025-12-21 18:46:59
000551.SZ,2025-12-21 18:47:01
000552.SZ,2025-12-21 18:47:02
000553.SZ,2025-12-21 18:47:03
000554.SZ,2025-12-21 18:47:04
000555.SZ,2025-12-21 18:47:04
000558.SZ,2025-12-21 18:47:06
000557.SZ,2025-12-21 18:47:07
000560.SZ,2025-12-21 18:47:10
000563.SZ,2025-12-21 18:48:11
000564.SZ,2025-12-21 18:48:13
000565.SZ,2025-12-21 18:48:13
000567.SZ,2025-12-21 18:48:15
000568.SZ,2025-12-21 18:48:18
000566.SZ,2025-12-21 18:48:19
000570.SZ,2025-12-21 18:48:20
000571.SZ,2025-12-21 18:48:21
000572.SZ,2025-12-21 18:48:23
000573.SZ,2025-12-21 18:48:23
000581.SZ,2025-12-21 18:48:26
000576.SZ,2025-12-21 18:48:27
000582.SZ,2025-12-21 18:48:29
000586.SZ,2025-12-21 18:48:30
000589.SZ,2025-12-21 18:48:31
000590.SZ,2025-12-21 18:48:31
000592.SZ,2025-12-21 18:48:33
000593.SZ,2025-12-21 18:48:35
000591.SZ,2025-12-21 18:48:35
000596.SZ,2025-12-21 18:48:37
000595.SZ,2025-12-21 18:48:37
